id;name;tree_species_id;name_short;country_codes;type;assortment table;weight;source;active;yield_value_step;age_step;age_min;age_max;missing_columns
1;Fichte_Hochgebirge;1000000;Fi-HG;AT,DE;dgz_100;1;420;Marschall;TRUE;1;10;10;250;
2;Fichte_Bayern;1000000;Fi-BA;AT,DE;dgz_100;2;420;Marschall;TRUE;1;10;10;250;
3;Fichte_Bruck;1000000;Fi-BR;AT,DE;dgz_100;3;420;Marschall;TRUE;1;10;10;250;
4;Fichte_Weitra;1000000;Fi-WE;AT,DE;dgz_100;4;420;Marschall;TRUE;1;10;10;250;
5;Tanne_NWD;10003;Ta-NWD;AT,DE;dgz_100;5;420;Marschall;TRUE;1;10;10;250;
6;Tanne_Württemberg;10003;Ta-WÜ;AT,DE;dgz_100;6;420;Marschall;TRUE;2;10;10;250;
7;Douglasie_BW;1000400;Dgl-WÜ;AT,DE;dgz_75;1;430;Marschall;TRUE;1;5;10;250;dominant_height,mean_volume_growth_per_ha
8;Lärche_Schweiz;1000200;Lä-SCH;AT,DE;dgz_100;8;500;Marschall;TRUE;1;10;10;250;
9;Kiefer_Litschau;1000100;Ki-LI;AT,DE;dgz_100;9;460;Marschall;TRUE;1;10;10;250;
10;Buche_Braunschweig;10101;Bu-BR;AT,DE;dgz_100;10;620;Marschall;TRUE;1;10;10;250;
11;Eiche_Ungarn;10102;Ei-UN;AT,DE;dgz_100;10;590;Marschall;TRUE;1;10;10;250;
12;Esche;10104;Esche;AT,DE;dgz_100;10;560;TimberControl Database;TRUE;1;10;10;250;
13;Europäische_Pappel;1010800;Pa;AT,DE;dgz_50;10;540;TimberControl Database;TRUE;1;10;10;250;
14;Hybrid_Pappel;1010802;HybPa;AT,DE;dgz_50;10;540;TimberControl Database;TRUE;1;10;10;250;
15;Hainbuche;10105;Hbu;AT,DE;dgz_100;10;620;TimberControl Database;TRUE;1;10;10;250;
16;Robinie;10110;Rob;AT,DE;dgz_50;10;540;TimberControl Database;TRUE;1;10;10;250;
17;Schwarzkiefer;1000101;SKi;AT,DE;dgz_100;9;540;TimberControl Database;TRUE;1;10;10;250;
18;Strobe_H;1000102;Strobe;AT,DE;dgz_80;9;540;TimberControl Database;TRUE;1;10;10;250;dominant_height
19;Erle_Schwappach;10107;SEr;AT,DE;dgz_100;10;540;TimberControl Database;TRUE;1;10;10;250;
20;Zirbe;1000103;Zi;AT,DE;dgz_200;9;420;ET-digital.xls;TRUE;1;10;10;250;
21;Birke;10106;Bi;AT,DE;dgz_100;10;640;TimberControl Database;TRUE;1;10;10;250;
22;Fichte- mäßige Durchforstung, Wiedemann 1936/42;1000000;Fi-Wiedemann;AT,DE;relative;;420;;FALSE;1;5;10;250;
23;Fichte- mittelstarke Durchforstung, Gehrhardt, 1921;1000000;Fi- Gerhardt;AT,DE;relative;;420;;FALSE;0.5;10;10;250;
24;Fichte- Südbayern, Vanselow, 1951;1000000;Fi- Südbayern;AT,DE;relative;;420;;FALSE;0.5;5;10;250;
25;Fichte- Hochgebirge, Guttenberg 1915;1000000;Fi- Hochgebirge;AT,DE;relative;;420;;FALSE;0.5;10;10;250;
26;Fichte- mittleres Ertragsniveau, Assmann-Franz 1963;1000000;Fi- Assmann;AT,DE;dominant_height_100;;420;;FALSE;4;5;10;250;
27;Kiefer- mäßige Durchforstung, Wiedemann 1943;1000100;Ki- Wiedemann;AT,DE;relative;;460;;FALSE;1;5;10;250;
29;Tanne- mäßige Durchforstung, Hausser 1956;10003;Ta- Hausser;AT,DE;relative;;420;;FALSE;1;5;10;250;
30;Lärche- mäßige Durchforstung, Schober 1946;1000200;Lä- Schober;AT,DE;relative;;500;Schober 1995;FALSE;1;5;10;250;
31;Japanische Lärche- mäßige Durchforstung, Schober 1953;1000201;JL- Schober;AT,DE;relative;;500;Schober 1995;FALSE;1;5;10;250;
32;Douglasie- mäßige Durchforstung, Schober 1956;1000400;Dgl- Schober;AT,DE;relative;;430;Schober 1995;FALSE;1;5;10;250;
33;Buche- mäßige Durchforstung, Wiedemann 1931;10101;Bu- Wiedemann mäßige DF;AT,DE;relative;;620;;FALSE;1;5;10;250;
34;Buche- mäßige  Durchforstung, Gerhardt 1908;10101;Bu- Gerhardt;AT,DE;relative;;620;;FALSE;1;10;10;250;
35;Eiche-mäßige Durchforstung, Jüttner 1955;10102;Ei- Jüttner mäßige DF;AT,DE;relative;;590;;FALSE;1;5;10;250;
36;Roteiche- Bauer 1955;1010204;REi- Bauer;AT,DE;relative;;590;;FALSE;1;5;10;250;
37;Schwarzerle- starke  Durchforstung, Mitscherlich 1945;1010700;SEr- Mitscherlich;AT,DE;relative;;540;;FALSE;1;5;10;250;
38;Esche- Wimmenauer/Schwappach 1919/29;10104;Es-Wimmenauer;AT,DE;relative;;560;;FALSE;0.5;10;10;250;
39;Birke-Schwappach 1903/29;10106;Bi-Schwappach;AT,DE;relative;;540;;FALSE;1;5;10;250;
